,passenger_count,distances,trip_duration
0,1,1641,437
1,2,2852,676
2,1,2078,1033
3,2,11308,3194
4,1,10718,1328
5,1,3245,994
6,1,887,154
7,1,1388,260
8,2,3253,586
9,1,546,196
10,1,2601,726
11,1,4312,846
12,1,5007,1803
13,1,1175,423
14,1,1320,203
15,1,223,514
16,4,3776,553
17,1,1616,1063
18,1,979,286
19,1,5927,1008
20,1,2020,469
21,1,2606,962
22,2,3309,948
23,5,9801,1687
24,1,1727,673
25,1,364,120
26,2,20357,2053
27,3,5565,1896
28,1,5539,956
29,2,549,592
30,1,923,232
31,1,2994,895
32,1,2405,623
33,4,21434,3950
34,3,4344,1219
35,1,3549,1106
36,1,3783,1644
37,1,3031,1891
38,1,2251,429
39,1,2314,507
40,1,3417,1210
41,1,5042,863
42,1,1885,257
43,1,343,398
44,1,1101,299
45,1,2338,484
46,1,2696,769
47,1,942,254
48,2,2204,500
49,6,13148,1655
50,1,1632,449
51,1,2282,879
52,1,763,256
53,1,9034,1864
54,5,1805,694
55,1,2785,764
56,1,6953,1308
57,3,1733,628
58,2,9641,1570
59,6,1566,421
60,2,20730,2164
61,1,3073,419
62,1,2120,424
63,1,1259,440
64,2,5861,2512
65,1,4762,1379
66,1,682,286
67,1,966,339
68,3,1013,381
69,1,1716,342
70,1,7458,1170
71,1,2464,945
72,2,1410,319
73,1,10824,1509
74,2,4146,891
75,1,901,217
76,1,6570,1516
77,1,3156,1664
78,1,1451,813
79,1,1574,539
80,1,3659,1295
81,1,6271,1038
82,1,2849,937
83,2,2122,361
84,1,4934,980
85,1,10384,997
86,1,7865,747
87,1,1759,708
88,2,946,151
89,1,1420,397
90,1,3446,547
91,1,1664,474
92,2,5585,2014
93,3,2174,465
94,1,2258,858
95,1,1106,219
96,1,3893,988
97,4,2076,345
98,1,563,60
99,1,5492,1143
100,5,19983,2141
101,1,1785,454
102,1,1969,946
103,1,2333,588
104,1,2506,1160
105,1,3434,699
106,2,1514,485
107,2,2276,676
108,2,12157,1205
109,1,1971,1698
110,3,4741,1110
111,1,1521,842
112,3,3430,875
113,1,1469,438
114,1,7903,2360
115,6,1216,243
116,1,4451,645
117,1,9234,2887
118,1,10840,1973
119,1,9248,1022
120,3,6366,1700
121,5,1718,532
122,3,1382,513
123,1,729,376
124,4,719,614
125,1,949,393
126,4,2820,553
127,1,1843,593
128,1,1648,554
129,2,4739,1304
130,5,2262,589
131,1,4481,953
132,6,2566,630
133,1,5456,1289
134,1,19684,2467
135,2,2111,620
136,2,2404,627
137,1,3577,1198
138,1,8802,2742
139,1,1995,341
140,5,2253,342
141,1,2706,752
142,1,9841,1837
143,1,10027,1470
144,1,374,760
145,1,3494,2275
146,6,7133,1479
147,1,1392,579
148,2,3151,771
149,1,2024,1245
150,1,1269,725
151,1,2387,783
152,1,1633,260
153,3,1952,726
154,5,1009,508
155,1,1980,486
156,1,1261,266
157,1,2879,784
158,1,9538,1877
159,1,2088,319
160,1,15234,1330
161,1,3831,1379
162,3,1423,456
163,2,1953,853
164,1,5344,910
165,1,1985,417
166,6,3244,1009
167,1,2287,344
168,1,9313,2200
169,3,9569,1197
170,1,1194,377
171,1,10233,1001
172,2,2817,454
173,1,2666,1545
174,1,6753,2064
175,1,2325,729
176,1,1921,452
177,1,2025,1026
178,1,1553,249
179,1,1494,286
180,1,760,565
181,2,11883,1852
182,1,977,266
183,1,1293,620
184,1,674,364
185,2,1753,432
186,1,1124,936
187,3,2162,891
188,1,1941,543
189,1,7895,3029
190,1,15166,2031
191,1,2698,470
192,1,1230,434
193,1,21182,3318
194,1,1919,320
195,1,17739,1762
196,6,1197,438
197,2,2000,677
198,1,4446,1945
199,1,1106,421
200,1,2669,338
201,1,977,112
202,1,2532,634
203,1,536,113
204,1,2220,329
205,1,1262,682
206,1,22532,3589
207,1,7099,2611
208,1,1006,305
209,1,6853,1177
210,2,6794,2152
211,2,1069,267
212,1,2056,623
213,1,7747,1911
214,3,1378,502
215,1,5546,1974
216,2,1200,672
217,1,7646,844
218,1,1046,410
219,3,2517,528
220,2,6499,1660
221,1,7784,1836
222,1,739,148
223,1,1309,205
224,1,594,598
225,2,9752,2688
226,2,3130,989
227,3,909,66
228,1,2572,626
229,1,361,175
230,1,2082,352
231,1,882,348
232,1,1610,476
233,2,1070,260
234,1,2104,986
235,5,1922,701
236,1,963,850
237,1,1447,344
238,2,1713,242
239,1,7405,1104
240,1,7026,1614
241,1,4384,3331
242,6,5177,1626
243,6,679,224
244,5,923,713
245,1,530,309
246,1,1970,595
247,1,3947,1113
248,1,1154,493
249,1,2420,788
250,1,7426,1445
251,1,4254,1207
252,1,4736,872
253,1,2182,902
254,1,716,150
255,3,3809,861
256,1,4100,678
257,5,1923,692
258,1,6125,1311
259,1,21552,3763
260,3,21087,1541
261,1,5959,773
262,1,543,110
263,1,2732,1034
264,1,7405,1233
265,1,3745,1022
266,1,3647,1364
267,1,4248,944
268,2,786,147
269,1,7108,1185
270,1,10510,1716
271,1,2572,533
272,1,511,288
273,1,635,171
274,4,943,256
275,1,4760,1177
